Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Status
ottoman-bed-alvador,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H8_60_SLD_LHS_Open.jpg?v=1694895124,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
majestic-wingback-chesterfield,Majestic Wingback Chesterfield,,Ottoman Beds,Furniture > Beds & Accessories > Headboards & Footboards,Headboards,"Floor Standing Headboard, headboard, Wingback",TRUE,Size,Small Single 2ft6,,,,,,0,shopify,100,deny,manual,275,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/ChesterdfieldWingback_54inch_H17_54_HeadOnly_LHS_dd6c5e86-8156-4b16-bcde-6f058f7cba87.jpg?v=1694883370,1,,FALSE,,,,,,,new,TRUE,,,,,,,lb,,,TRUE,,,TRUE,,,TRUE,,,active
majestic-wingback-chesterfield,,,,,,,,,Single 3ft,,,,,,0,shopify,100,deny,manual,275,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/ChesterdfieldWingback_54inch_HeadOnly_Front.jpg?v=1694883369,2,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
majestic-wingback-chesterfield,,,,,,,,,Small Double 4ft,,,,,,0,shopify,100,deny,manual,295,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
majestic-wingback-chesterfield,,,,,,,,,Double 4ft6,,,,,,0,shopify,100,deny,manual,295,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
majestic-wingback-chesterfield,,,,,,,,,King Size 5ft,,,,,,0,shopify,100,deny,manual,325,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
majestic-wingback-chesterfield,,,,,,,,,Super King 6ft,,,,,,0,shopify,100,deny,manual,425,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
oxford-wingback-headboard,Oxford Wingback Headboard,,Ottoman Beds,Furniture > Beds & Accessories > Headboards & Footboards,Headboards,"Floor Standing Headboard, headboard, Wingback",FALSE,Size,Small Single 2ft6,,,,,,0,shopify,100,deny,manual,275,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P3_F1_LSV2_H1V4_54_HeadOnly_a2e7ce93-c6b3-4e00-94e8-d66071702a32.jpg?v=1694883133,1,,FALSE,,,,,,,new,TRUE,,,,,,,lb,,,TRUE,,,TRUE,,,TRUE,,,archived
oxford-wingback-headboard,,,,,,,,,Single 3ft,,,,,,0,shopify,100,deny,manual,275,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P3_F1_LSV2_H1V4_54_HeadOnly_a6f4fe35-7057-4bf6-9247-dfa2bb4aaf26.jpg?v=1694883147,2,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
oxford-wingback-headboard,,,,,,,,,Small Double 4ft,,,,,,0,shopify,100,deny,manual,295,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P3_F1_LSV2_H1V4_70_HeadOnly.jpg?v=1694883164,3,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
oxford-wingback-headboard,,,,,,,,,Double 4ft6,,,,,,0,shopify,100,deny,manual,295,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
oxford-wingback-headboard,,,,,,,,,King Size 5ft,,,,,,0,shopify,100,deny,manual,325,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
